Year,Period,Area,Area Type,Adjustment,Employment,Civilian Labor Force,Unemployment,Unemployment Rate
2005,March,Texas,Texas,Not Adjusted,"10,457,456","11,066,337","608,881",5.5
2005,March,Texas,Texas,Adjusted,"10,502,785","11,125,846","623,061",5.6
2005,June,Texas,Texas,Not Adjusted,"10,557,049","11,181,612","624,563",5.6
2005,June,Texas,Texas,Adjusted,"10,569,961","11,163,389","593,428",5.3
2005,September,Texas,Texas,Not Adjusted,"10,589,753","11,216,770","627,017",5.6
2005,September,Texas,Texas,Adjusted,"10,604,917","11,211,963","607,046",5.4
2005,December,Texas,Texas,Not Adjusted,"10,668,207","11,236,116","567,909",5.1
2005,December,Texas,Texas,Adjusted,"10,633,045","11,233,098","600,053",5.3
2005,March,Anderson                                             ,County,Not Adjusted,"18,642","19,915","1,273",6.4
2005,June,Anderson                                             ,County,Not Adjusted,"18,954","20,265","1,311",6.5
2005,September,Anderson                                             ,County,Not Adjusted,"18,667","19,969","1,302",6.5
2005,December,Anderson                                             ,County,Not Adjusted,"18,829","19,976","1,147",5.7
2005,March,Andrews                                              ,County,Not Adjusted,"5,949","6,207",258,4.2
2005,June,Andrews                                              ,County,Not Adjusted,"6,158","6,436",278,4.3
2005,September,Andrews                                              ,County,Not Adjusted,"6,117","6,374",257,4
2005,December,Andrews                                              ,County,Not Adjusted,"6,333","6,561",228,3.5
2005,March,Angelina                                             ,County,Not Adjusted,"36,983","39,252","2,269",5.8
2005,June,Angelina                                             ,County,Not Adjusted,"37,131","39,329","2,198",5.6
2005,September,Angelina                                             ,County,Not Adjusted,"37,295","39,415","2,120",5.4
2005,December,Angelina                                             ,County,Not Adjusted,"38,004","39,903","1,899",4.8
2005,March,Aransas                                              ,County,Not Adjusted,"10,427","11,036",609,5.5
2005,June,Aransas                                              ,County,Not Adjusted,"10,425","11,071",646,5.8
2005,September,Aransas                                              ,County,Not Adjusted,"10,341","10,959",618,5.6
2005,December,Aransas                                              ,County,Not Adjusted,"10,341","10,876",535,4.9
2005,March,Archer                                               ,County,Not Adjusted,"5,102","5,280",178,3.4
2005,June,Archer                                               ,County,Not Adjusted,"5,132","5,347",215,4
2005,September,Archer                                               ,County,Not Adjusted,"5,108","5,288",180,3.4
2005,December,Archer                                               ,County,Not Adjusted,"5,130","5,313",183,3.4
2005,March,Armstrong                                            ,County,Not Adjusted,"1,069","1,114",45,4
2005,June,Armstrong                                            ,County,Not Adjusted,"1,082","1,126",44,3.9
2005,September,Armstrong                                            ,County,Not Adjusted,"1,089","1,130",41,3.6
2005,December,Armstrong                                            ,County,Not Adjusted,"1,087","1,126",39,3.5
2005,March,Atascosa                                             ,County,Not Adjusted,"17,899","18,937","1,038",5.5
2005,June,Atascosa                                             ,County,Not Adjusted,"18,130","19,265","1,135",5.9
2005,September,Atascosa                                             ,County,Not Adjusted,"18,160","19,141",981,5.1
2005,December,Atascosa                                             ,County,Not Adjusted,"18,273","19,124",851,4.4
2005,March,Austin                                               ,County,Not Adjusted,"12,164","12,735",571,4.5
2005,June,Austin                                               ,County,Not Adjusted,"12,217","12,836",619,4.8
2005,September,Austin                                               ,County,Not Adjusted,"12,291","12,890",599,4.6
2005,December,Austin                                               ,County,Not Adjusted,"12,462","12,976",514,4
2005,March,Bailey                                               ,County,Not Adjusted,"3,044","3,251",207,6.4
2005,June,Bailey                                               ,County,Not Adjusted,"3,182","3,379",197,5.8
